time,date,symbol,volume,adjprice,oil,gold,sp500,vix,rates_10y
1,2010-01-04,XOM,27809100,37.63096618652344,81.51000213623047,1117.699951171875,1132.989990234375,20.040000915527344,3.8410000801086426
2,2010-01-05,XOM,30174700,37.77790832519531,81.7699966430664,1118.0999755859375,1136.52001953125,19.350000381469727,3.755000114440918
3,2010-01-06,XOM,35044700,38.10441589355469,83.18000030517578,1135.9000244140625,1137.1400146484375,19.15999984741211,3.808000087738037
4,2010-01-07,XOM,27192100,37.98470687866211,82.66000366210938,1133.0999755859375,1141.68994140625,19.059999465942383,3.822000026702881
5,2010-01-08,XOM,24891800,37.83232879638672,82.75,1138.199951171875,1144.97998046875,18.1299991607666,3.808000087738037
6,2010-01-11,XOM,30685000,38.25680923461914,82.5199966430664,1150.699951171875,1146.97998046875,17.549999237060547,3.818000078201294
7,2010-01-12,XOM,31496700,38.06632232666016,80.79000091552734,1128.9000244140625,1136.219970703125,18.25,3.7190001010894775
8,2010-01-13,XOM,24884400,37.913944244384766,79.6500015258789,1136.4000244140625,1145.6800537109375,17.850000381469727,3.7829999923706055
9,2010-01-14,XOM,18630800,37.91938400268555,79.38999938964844,1142.5999755859375,1148.4599609375,17.6299991607666,3.733999967575073
10,2010-01-15,XOM,29411900,37.60920333862305,78.0,1130.0999755859375,1136.030029296875,17.90999984741211,3.6760001182556152
11,2010-01-19,XOM,26081900,37.69627380371094,79.0199966430664,1139.699951171875,1150.22998046875,17.579999923706055,3.7070000171661377
12,2010-01-20,XOM,34629500,37.021480560302734,77.62000274658203,1112.300048828125,1138.0400390625,18.68000030517578,3.658999919891357
13,2010-01-21,XOM,39114000,36.29769515991211,76.08000183105469,1102.699951171875,1116.47998046875,22.270000457763672,3.611000061035156
14,2010-01-22,XOM,39085500,35.97118377685547,74.54000091552734,1089.199951171875,1091.760009765625,27.309999465942383,3.5980000495910645
15,2010-01-25,XOM,29305100,35.83512878417969,75.26000213623047,1095.199951171875,1096.780029296875,25.40999984741211,3.630000114440918
16,2010-01-26,XOM,34083300,35.873226165771484,74.70999908447266,1097.9000244140625,1092.1700439453125,24.549999237060547,3.630000114440918
17,2010-01-27,XOM,35723500,35.666439056396484,73.66999816894531,1084.4000244140625,1097.5,23.13999938964844,3.6440000534057617
18,2010-01-28,XOM,37349800,35.350799560546875,73.63999938964844,1083.5999755859375,1084.530029296875,23.729999542236328,3.6579999923706055
19,2010-01-29,XOM,40880500,35.06237030029297,72.88999938964844,1083.0,1073.8699951171875,24.6200008392334,3.608999967575073
20,2010-02-01,XOM,37703000,36.01471328735352,74.43000030517578,1104.300048828125,1089.18994140625,22.59000015258789,3.6540000438690186
21,2010-02-02,XOM,34057900,36.439186096191406,77.2300033569336,1117.4000244140625,1103.3199462890625,21.479999542236328,3.634999990463257
