date,volume,adjprice,oil,gold,sp500,vix,rates_10y
2010-01-04,38409100.0,23.07738304138184,81.51000213623047,1117.699951171875,1132.989990234375,20.040000915527344,3.8410000801086426
2010-01-05,49749600.0,23.08484268188477,81.7699966430664,1118.0999755859375,1136.52001953125,19.350000381469727,3.755000114440918
2010-01-06,58182400.0,22.943164825439453,83.18000030517578,1135.9000244140625,1137.1400146484375,19.15999984741211,3.808000087738037
2010-01-07,50559700.0,22.704561233520508,82.66000366210938,1133.0999755859375,1141.68994140625,19.059999465942383,3.822000026702881
2010-01-08,51197400.0,22.86114883422852,82.75,1138.199951171875,1144.97998046875,18.1299991607666,3.808000087738037
2010-01-11,68754700.0,22.57035446166992,82.5199966430664,1150.699951171875,1146.97998046875,17.549999237060547,3.818000078201294
2010-01-12,65912100.0,22.42122459411621,80.79000091552734,1128.9000244140625,1136.219970703125,18.25,3.7190001010894775
2010-01-13,51863500.0,22.63000106811523,79.6500015258789,1136.4000244140625,1145.6800537109375,17.850000381469727,3.7829999923706055
2010-01-14,63228100.0,23.08484268188477,79.38999938964844,1142.5999755859375,1148.4599609375,17.6299991607666,3.733999967575073
2010-01-15,79913200.0,23.01027488708496,78.0,1130.0999755859375,1136.030029296875,17.90999984741211,3.6760001182556152
2010-01-19,46575700.0,23.189226150512695,79.0199966430664,1139.699951171875,1150.22998046875,17.579999923706055,3.7070000171661377
2010-01-20,54849500.0,22.808950424194336,77.62000274658203,1112.300048828125,1138.0400390625,18.68000030517578,3.658999919891357
2010-01-21,73086700.0,22.376483917236328,76.08000183105469,1102.699951171875,1116.47998046875,22.270000457763672,3.611000061035156
2010-01-22,102004600.0,21.593568801879883,74.54000091552734,1089.199951171875,1091.760009765625,27.309999465942383,3.5980000495910645
2010-01-25,63373000.0,21.86199188232422,75.26000213623047,1095.199951171875,1096.780029296875,25.40999984741211,3.630000114440918
2010-01-26,66639900.0,21.99621200561523,74.70999908447266,1097.9000244140625,1092.1700439453125,24.549999237060547,3.630000114440918
2010-01-27,63949500.0,22.12296867370605,73.66999816894531,1084.4000244140625,1097.5,23.13999938964844,3.6440000534057617
2010-01-28,117513700.0,21.742698669433597,73.63999938964844,1083.5999755859375,1084.530029296875,23.729999542236328,3.6579999923706055
2010-01-29,193888500.0,21.011966705322266,72.88999938964844,1083.0,1073.8699951171875,24.6200008392334,3.608999967575073
2010-02-01,85931100.0,21.1834716796875,74.43000030517578,1104.300048828125,1089.18994140625,22.59000015258789,3.6540000438690186
2010-02-02,54413700.0,21.220752716064453,77.2300033569336,1117.4000244140625,1103.3199462890625,21.479999542236328,3.634999990463257
2010-02-03,61397900.0,21.34751510620117,76.9800033569336,1111.4000244140625,1097.280029296875,21.600000381469727,3.703000068664551
2010-02-04,77850000.0,20.758459091186523,73.13999938964844,1062.4000244140625,1063.1099853515625,26.07999992370605,3.609999895095825
2010-02-05,80960100.0,20.892677307128903,71.19000244140625,1052.199951171875,1066.18994140625,26.11000061035156,3.5460000038146973
2010-02-08,52820600.0,20.668981552124023,71.88999938964844,1065.699951171875,1056.739990234375,26.51000022888184,3.5920000076293945
2010-02-09,59195800.0,20.885210037231445,73.75,1076.699951171875,1070.52001953125,26.0,3.632999897003174
