time,date,symbol,volume,adjprice,oil,gold,sp500,vix,rates_10y
1,2010-01-04,MSFT,38409100,23.07738304138184,81.51000213623047,1117.699951171875,1132.989990234375,20.040000915527344,3.8410000801086426
2,2010-01-05,MSFT,49749600,23.08484268188477,81.7699966430664,1118.0999755859375,1136.52001953125,19.350000381469727,3.755000114440918
3,2010-01-06,MSFT,58182400,22.943164825439453,83.18000030517578,1135.9000244140625,1137.1400146484375,19.15999984741211,3.808000087738037
4,2010-01-07,MSFT,50559700,22.704561233520508,82.66000366210938,1133.0999755859375,1141.68994140625,19.059999465942383,3.822000026702881
5,2010-01-08,MSFT,51197400,22.86114883422852,82.75,1138.199951171875,1144.97998046875,18.1299991607666,3.808000087738037
6,2010-01-11,MSFT,68754700,22.57035446166992,82.5199966430664,1150.699951171875,1146.97998046875,17.549999237060547,3.818000078201294
7,2010-01-12,MSFT,65912100,22.42122459411621,80.79000091552734,1128.9000244140625,1136.219970703125,18.25,3.7190001010894775
8,2010-01-13,MSFT,51863500,22.630001068115234,79.6500015258789,1136.4000244140625,1145.6800537109375,17.850000381469727,3.7829999923706055
9,2010-01-14,MSFT,63228100,23.08484268188477,79.38999938964844,1142.5999755859375,1148.4599609375,17.6299991607666,3.733999967575073
10,2010-01-15,MSFT,79913200,23.01027488708496,78.0,1130.0999755859375,1136.030029296875,17.90999984741211,3.6760001182556152
11,2010-01-19,MSFT,46575700,23.18922615051269,79.0199966430664,1139.699951171875,1150.22998046875,17.579999923706055,3.7070000171661377
12,2010-01-20,MSFT,54849500,22.808950424194336,77.62000274658203,1112.300048828125,1138.0400390625,18.68000030517578,3.658999919891357
13,2010-01-21,MSFT,73086700,22.376483917236328,76.08000183105469,1102.699951171875,1116.47998046875,22.270000457763672,3.611000061035156
14,2010-01-22,MSFT,102004600,21.593568801879883,74.54000091552734,1089.199951171875,1091.760009765625,27.309999465942383,3.5980000495910645
15,2010-01-25,MSFT,63373000,21.86199188232422,75.26000213623047,1095.199951171875,1096.780029296875,25.40999984741211,3.630000114440918
16,2010-01-26,MSFT,66639900,21.996212005615234,74.70999908447266,1097.9000244140625,1092.1700439453125,24.549999237060547,3.630000114440918
17,2010-01-27,MSFT,63949500,22.12296867370605,73.66999816894531,1084.4000244140625,1097.5,23.13999938964844,3.6440000534057617
18,2010-01-28,MSFT,117513700,21.742698669433597,73.63999938964844,1083.5999755859375,1084.530029296875,23.729999542236328,3.6579999923706055
19,2010-01-29,MSFT,193888500,21.011966705322266,72.88999938964844,1083.0,1073.8699951171875,24.6200008392334,3.608999967575073
20,2010-02-01,MSFT,85931100,21.1834716796875,74.43000030517578,1104.300048828125,1089.18994140625,22.59000015258789,3.6540000438690186
21,2010-02-02,MSFT,54413700,21.220752716064453,77.2300033569336,1117.4000244140625,1103.3199462890625,21.479999542236328,3.634999990463257
22,2010-02-03,MSFT,61397900,21.34751510620117,76.9800033569336,1111.4000244140625,1097.280029296875,21.600000381469727,3.703000068664551
23,2010-02-04,MSFT,77850000,20.758459091186523,73.13999938964844,1062.4000244140625,1063.1099853515625,26.07999992370605,3.609999895095825
24,2010-02-05,MSFT,80960100,20.892677307128903,71.19000244140625,1052.199951171875,1066.18994140625,26.11000061035156,3.5460000038146973
25,2010-02-08,MSFT,52820600,20.668981552124023,71.88999938964844,1065.699951171875,1056.739990234375,26.51000022888184,3.5920000076293945
26,2010-02-09,MSFT,59195800,20.885210037231445,73.75,1076.699951171875,1070.52001953125,26.0,3.632999897003174
27,2010-02-10,MSFT,48591300,20.87030601501465,74.5199966430664,1075.800048828125,1068.1300048828125,25.399999618530277,3.694000005722046
28,2010-02-11,MSFT,65993700,20.967235565185547,75.27999877929688,1094.199951171875,1078.469970703125,23.959999084472656,3.733000040054321
29,2010-02-12,MSFT,81117200,20.8255672454834,74.12999725341797,1089.5,1075.510009765625,22.729999542236328,3.693000078201294
30,2010-02-16,MSFT,51935600,21.237585067749023,77.01000213623047,1119.300048828125,1094.8699951171875,22.25,3.6640000343322754
31,2010-02-17,MSFT,45882900,21.417367935180664,77.33000183105469,1119.5,1099.510009765625,21.71999931335449,3.742000102996826
32,2010-02-18,MSFT,42856500,21.70203018188477,79.05999755859375,1118.0,1106.75,20.6299991607666,3.802999973297119
33,2010-02-19,MSFT,44451800,21.55221366882324,79.80999755859375,1121.300048828125,1109.1700439453125,20.020000457763672,3.7820000648498535
34,2010-02-22,MSFT,36707100,21.522253036499023,80.16000366210938,1112.5999755859375,1108.010009765625,19.940000534057617,3.799000024795532
35,2010-02-23,MSFT,52266200,21.222597122192383,78.86000061035156,1102.699951171875,1094.5999755859375,21.3700008392334,3.690999984741211
36,2010-02-24,MSFT,43165900,21.44734001159668,80.0,1096.5,1105.239990234375,20.270000457763672,3.694999933242798
37,2010-02-25,MSFT,48735300,21.42485618591309,78.16999816894531,1107.800048828125,1102.93994140625,20.100000381469727,3.641999959945679
38,2010-02-26,MSFT,40370600,21.477296829223636,79.66000366210938,1118.300048828125,1104.489990234375,19.5,3.595000028610229
39,2010-03-01,MSFT,43805400,21.7394962310791,78.69999694824219,1117.800048828125,1115.7099609375,19.26000022888184,3.6059999465942383
40,2010-03-02,MSFT,93123900,21.31998634338379,79.68000030517578,1136.9000244140625,1118.31005859375,19.059999465942383,3.614000082015991
41,2010-03-03,MSFT,48442100,21.31998634338379,80.87000274658203,1142.699951171875,1118.7900390625,18.82999992370605,3.625
42,2010-03-04,MSFT,42890600,21.44734001159668,80.20999908447266,1132.5999755859375,1122.969970703125,18.71999931335449,3.6059999465942383
43,2010-03-05,MSFT,56001800,21.417367935180664,81.5,1134.800048828125,1138.699951171875,17.420000076293945,3.681999921798706
44,2010-03-08,MSFT,39414500,21.44734001159668,81.87000274658203,1123.5999755859375,1138.5,17.790000915527344,3.7079999446868896
45,2010-03-09,MSFT,50271600,21.574678421020508,81.48999786376953,1122.0,1140.449951171875,17.920000076293945,3.700999975204468
46,2010-03-10,MSFT,44891400,21.70203018188477,82.08999633789062,1107.800048828125,1145.6099853515625,18.56999969482422,3.7200000286102295
47,2010-03-11,MSFT,35349700,21.859355926513672,82.11000061035156,1108.0,1150.239990234375,18.059999465942383,3.7200000286102295
48,2010-03-12,MSFT,31700200,21.926782608032227,81.23999786376953,1101.5,1149.989990234375,17.579999923706055,3.7100000381469727
49,2010-03-15,MSFT,37512000,21.94175338745117,79.80000305175781,1105.0999755859375,1150.510009765625,18.0,3.703999996185303
50,2010-03-16,MSFT,36723500,22.00168800354004,81.69999694824219,1122.199951171875,1159.4599609375,17.690000534057617,3.6530001163482666
51,2010-03-17,MSFT,50385700,22.196456909179688,82.93000030517578,1124.0,1166.2099609375,16.90999984741211,3.641999959945679
52,2010-03-18,MSFT,43845200,22.181474685668945,82.19999694824219,1127.4000244140625,1165.8299560546875,16.6200008392334,3.671999931335449
53,2010-03-19,MSFT,81332100,22.166488647460938,80.68000030517578,1107.4000244140625,1159.9000244140625,16.969999313354492,3.687000036239624
54,2010-03-22,MSFT,37718200,22.17398452758789,81.25,1099.300048828125,1165.81005859375,16.8700008392334,3.663000106811523
55,2010-03-23,MSFT,42026600,22.38374328613281,81.91000366210938,1103.5,1174.1700439453125,16.350000381469727,3.680000066757202
56,2010-03-24,MSFT,33987700,22.2114372253418,80.61000061035156,1088.5999755859375,1167.719970703125,17.549999237060547,3.828999996185303
57,2010-03-25,MSFT,73168700,22.48112297058105,80.52999877929688,1092.699951171875,1165.72998046875,18.399999618530277,3.901000022888184
58,2010-03-26,MSFT,55595500,22.218935012817383,80.0,1104.199951171875,1166.5899658203125,17.770000457763672,3.8550000190734863
59,2010-03-29,MSFT,33336000,22.166488647460938,82.16999816894531,1110.300048828125,1173.219970703125,17.59000015258789,3.864000082015991
60,2010-03-30,MSFT,34954800,22.301332473754883,82.37000274658203,1104.5,1173.27001953125,17.1299991607666,3.868000030517578
61,2010-03-31,MSFT,63760000,21.94175338745117,83.76000213623047,1113.300048828125,1169.4300537109375,17.59000015258789,3.8329999446868896
62,2010-04-01,MSFT,74768100,21.844371795654297,84.87000274658203,1125.0999755859375,1178.0999755859375,17.469999313354492,3.858999967575073
63,2010-04-05,MSFT,34331200,21.926782608032227,86.62000274658203,1132.9000244140625,1187.43994140625,17.020000457763672,3.99399995803833
64,2010-04-06,MSFT,47366800,21.96422576904297,86.83999633789062,1135.0999755859375,1189.43994140625,16.229999542236328,3.9679999351501465
65,2010-04-07,MSFT,58318800,21.986703872680664,85.87999725341797,1152.300048828125,1182.449951171875,16.6200008392334,3.86299991607666
66,2010-04-08,MSFT,63713800,22.413707733154297,85.38999938964844,1152.199951171875,1186.43994140625,16.479999542236328,3.8959999084472656
